"varresp_ini";"varresp_fim";"qt_sem_hist";"historico_ini";"historico_fim";"retorno_esp_modelo";"retorno_real"
"07/09/2015";"11/09/2015";4;"10/08/2015";"04/09/2015";0,0978994180655306;-1,26889081176389
"07/09/2015";"11/09/2015";3;"17/08/2015";"04/09/2015";-0,0963322043689932;0,475565213444595
"07/09/2015";"11/09/2015";2;"24/08/2015";"04/09/2015";4,63115386762233;2,0880032487363
"14/09/2015";"18/09/2015";15;"01/06/2015";"11/09/2015";-0,721449408524742;-1,05933488959118
"14/09/2015";"18/09/2015";14;"08/06/2015";"11/09/2015";-0,802805458541571;-1,08357387606472
"14/09/2015";"18/09/2015";13;"15/06/2015";"11/09/2015";-0,640234279513405;-0,146510588650758
"14/09/2015";"18/09/2015";12;"22/06/2015";"11/09/2015";-0,404032450078557;0,421949927950999
"14/09/2015";"18/09/2015";11;"29/06/2015";"11/09/2015";-0,0385011258751957;3,03395317111568
"14/09/2015";"18/09/2015";10;"06/07/2015";"11/09/2015";0,0546200106072837;3,12620459313075
"14/09/2015";"18/09/2015";9;"13/07/2015";"11/09/2015";0,0192565147762265;2,38439351361118
"14/09/2015";"18/09/2015";8;"20/07/2015";"11/09/2015";0,0184095846715253;1,94326898511173
"14/09/2015";"18/09/2015";7;"27/07/2015";"11/09/2015";1,06276444695007;2,68582343631493
"14/09/2015";"18/09/2015";6;"03/08/2015";"11/09/2015";1,25649694719286;2,33373620320952
"14/09/2015";"18/09/2015";5;"10/08/2015";"11/09/2015";-0,125880546533395;2,80173719652573
"14/09/2015";"18/09/2015";4;"17/08/2015";"11/09/2015";0,0378295451501793;2,0815445017616
"14/09/2015";"18/09/2015";3;"24/08/2015";"11/09/2015";4,71820868155408;-2,71197689134467
"14/09/2015";"18/09/2015";2;"31/08/2015";"11/09/2015";15,4344735168295;-4,56110288258002
"21/09/2015";"25/09/2015";15;"08/06/2015";"18/09/2015";-0,729245146606794;1,31248698383691
